,H_modelled,H_modelled_grad,H_modelled_lapl,v_modelled,v_modelled_grad,v_modelled_lapl,boundary_proximity,elevation1,elevation1_gradient,elevation1_laplacian,elevation2,elevation2_gradient,elevation2_laplacian,glacier,H,x,y,fold,elevation_diff
76,50.511444,0.2807389,-0.27563572,6.238042,0.110623024,-0.119891405,209.8177,593.22266,0.20175734,-0.0005645752,595.765,0.22302936,-0.0024469378,scottturnerbreen,33.5398625,520218.741,8668764.139,3,2.5423584
77,49.66747,0.76954395,-0.38892174,5.9414206,0.31539086,-0.16554046,197.79576,604.0492,0.20272854,-0.00064811716,605.7364,0.19363219,0.0009390833,scottturnerbreen,32.7578042,520208.948,8668712.29,4,1.6871948
78,49.002716,1.1989028,0.042428017,5.918194,0.71720636,0.034202337,184.3559,612.16223,0.22209014,0.0022177696,614.3909,0.17930025,0.00026025716,scottturnerbreen,31.29790452,520199.616,8668660.259,4,2.2286987
79,49.13899,2.9637694,-0.3931961,6.6595793,1.502623,-0.21705401,170.91605,621.7111,0.2133239,-0.00051794015,623.9773,0.21703812,-0.0010354044,scottturnerbreen,32.7578042,520191.171,8668606.04,4,2.2661743
80,42.496742,0.3974152,0.046892166,3.3425152,0.14824487,0.031484544,170.2873,630.17163,0.19435495,0.0023733135,634.07477,0.22540557,-0.0018607145,scottturnerbreen,40.47338557,520187.907,8668553.105,4,3.9031372
81,44.20343,0.7053126,0.010548592,4.0521584,0.32401076,0.043180585,160.81503,636.24506,0.17723222,0.00014181156,641.02313,0.212277,-3.1471718e-06,scottturnerbreen,54.33806809,520187.808,8668506.401,4,4.778076
82,48.92496,1.1626437,-0.81147194,7.216958,1.2261499,0.058511376,128.9617,644.49884,0.15820299,0.00021209707,648.3799,0.15939187,0.0023187636,scottturnerbreen,67.99273943,520178.506,8668461.863,4,3.8810425
83,50.905052,1.832821,-1.9561958,10.038952,1.2396241,-0.3746314,110.99277,647.4239,0.16035023,0.00013828324,652.2636,0.19360201,-0.0031383517,scottturnerbreen,69.19138982,520172.719,8668436.293,4,4.8397217
84,38.72931,3.1973572,-0.27455807,7.2160425,0.36336118,-0.005883217,47.87531,660.58984,0.250775,0.0007951739,662.61127,0.2561608,-0.00017795572,scottturnerbreen,47.87510735,520538.925,8668312.281,5,2.0214233
85,29.524666,2.9725943,0.2549014,6.8467746,0.5293145,0.47066438,26.109367,667.1312,0.25108618,0.0015514372,667.93787,0.2409385,0.0035438533,scottturnerbreen,48.55269459,520570.558,8668302.495,5,0.8066406
86,29.864399,2.9754298,0.21974182,7.33252,0.57092214,0.36069155,29.18757,669.116,0.24136126,0.0011909483,670.16125,0.25268608,0.002121925,scottturnerbreen,45.21682951,520574.218,8668283.573,5,1.045227
87,36.198933,3.1839552,-0.09483719,7.555398,0.3314738,-0.09560406,48.21646,666.13,0.23060915,-0.00089740753,667.8663,0.2425406,0.0008470537,scottturnerbreen,39.79572023,520549.651,8668284.35,5,1.7362671
88,44.980858,1.2901589,-1.5489473,7.829151,0.074507825,-0.1831572,75.41537,662.3458,0.22250512,-0.00033416692,665.2148,0.22942606,-0.001342583,scottturnerbreen,47.66661797,520518.184,8668291.091,5,2.8689575
89,46.75224,0.7964847,-0.16673088,7.4941735,0.31338447,-0.05500865,115.846535,655.2757,0.1413344,6.694812e-05,658.32947,0.16878164,0.0037256246,scottturnerbreen,56.00587264,520466.221,8668307.852,5,3.053772
